Country,Area,Citrus_fruit,Eggs,Treenuts,Pulses,Coarse_grain,Meat,Roots_and_tubers,Vegetables,Milk,Fruit,Cereals
Afghanistan,Asia,7510,22373,49399,61778,175091,330636,615684,742001,2128119,2174976,4140568
Albania,Europe,45500,52333,13196,27486,437902,96034,254543,880641,1144365,787834,678196
Algeria,Africa,1478053,314043,57213,137710,2083348,806392,4653322,6910245,3064927,6703946,6064881
American Samoa,Oceania,32,36,0,0,0,344,11522,1069,33,1547,0
Angola,Africa,311450,5100,2170,314932,2385484,262490,10740975,815032,217567,4440586,2444745
Antigua and Barbuda,South America,454,272,0,0,75,407,593,2519,2624,10639,75
Argentina,South America,3541671,829000,19214,763043,50705003,5930063,2873914,3376673,10526600,8066369,70591016
Armenia,Europe,0,36340,3640,3823,146889,108247,415050,560298,697700,646569,334342
Australia,Oceania,560717,258928,118104,2744529,12284636,4658530,1258859,1781067,9289000,3796989,33860883
Austria,Europe,0,127585,5938,45285,3442278,910026,697931,563512,3859989,919350,4813238
Azerbaijan,Asia,49139,100782,69757,48552,1178160,326024,898914,1525618,2080437,1519528,3181818
Bahamas,South America,32402,875,0,198,742,7543,2800,28657,2797,51807,742
Bahrain,Middle east,1088,2859,350,7,0,24397,68,15279,14064,19251,0
Bangladesh,Asia,160615,709244,0,419182,3301146,705745,9991228,5459502,2018714,4693311,60817838
Barbados,South America,0,2872,0,1482,109,19732,2749,11168,4799,5664,109
Belarus,Europe,0,201900,20225,336733,3999104,1193215,5865123,1763804,7345400,919508,5813869
Belgium,Europe,0,167373,364,7705,830759,1825437,3045443,1647302,4096497,702003,2483008
Belize,South America,106797,3063,0,10100,85966,23885,2664,13886,4994,220528,99341
Benin,Africa,15226,15355,216288,193233,1856243,81417,6830536,606485,149277,575932,2315556
Bermuda,North America,0,365,0,0,0,224,1086,4043,1411,326,0
Bhutan,Asia,46647,4000,240,6303,101717,6770,91984,30880,188241,64783,194612
Bolivia,South America,460663,112125,115056,125992,2424579,914906,1414424,380446,604126,1553504,3267425
Bosnia and Herzegovina,Europe,195,22000,7565,23159,1447952,82235,394274,786342,692376,473192,1743762
Botswana,Africa,762,3670,0,4823,36284,71616,102257,67697,303517,10400,36284
Brazil,South America,19273659,2844013,188760,2929671,85896834,29341250,22325454,8989788,34112475,40047343,103064737
British Virgin Islands,South America,0,0,0,0,0,267,0,0,0,600,0
Brunei,Asia,528,8504,0,0,0,26127,4205,10626,236,8243,1569
Bulgaria,Europe,0,78751,8043,118631,4036135,232673,261594,499206,1025200,524981,9931999
Burkina Faso,Africa,1529,60610,104889,699254,4830310,261402,105611,314705,330119,113597,4991259
Burundi,Africa,0,3338,0,400515,347380,28914,3335323,556281,108102,1780641,425802
Cabo Verde,Africa,0,2071,0,3311,3893,5636,7634,30665,10079,14861,3893
Cambodia,Asia,72649,22700,3306,86460,604333,180454,7731295,679522,24273,386096,11251546
Cameroon,Africa,192,18307,1146,630946,3865011,306393,8364774,2832445,245327,5835894,4198483
Canada,North America,0,571300,0,6325236,26326600,4893195,5790838,2291664,7374885,1068128,58095800
Cayman Islands,South America,59,8,0,0,0,0,38,63,0,350,0
Central African Republic,Africa,42822,2797,0,41741,126796,188629,1369379,95665,81593,259227,137904
Chad,Africa,0,7639,0,186774,2760635,748787,1087091,110839,383240,127840,3021973
Chile,South America,384484,247057,131053,63071,1999623,1504623,1198115,2257341,1705437,6222640,3661435
Colombia,South America,1160762,780000,56424,197611,1423606,2829394,5890587,4360462,6096523,11935938,4757682
Comoros,Africa,0,1121,0,16679,7014,2365,90875,5232,13406,50728,38354
Congo,Africa,15716,1489,0,11143,28690,65514,1528989,159925,5116,251279,29886
